team,season,returning_starters,total_yards,yards_rank
ARI,2020,3,6153,13
ATL,2020,5,5897,20
BAL,2020,4,6215,11
BUF,2020,4,6740,1
CAR,2020,2,5594,22
CHI,2020,4,5545,23
CIN,2020,3,5116,30
CLE,2020,3,6307,9
DAL,2020,3,5957,17
DEN,2020,3,5373,26
DET,2020,3,5607,21
GB,2020,4,6228,10
HOU,2020,4,6006,16
IND,2020,5,6529,5
JAX,2020,5,5224,29
KC,2020,4,6659,2
LAC,2020,2,6117,15
LAR,2020,4,6367,7
LV,2020,5,6135,14
MIA,2020,1,5432,25
MIN,2020,4,6308,8
NE,2020,3,5238,28
NO,2020,4,6408,6
NYG,2020,2,4798,31
NYJ,2020,1,4481,32
PHI,2020,3,5368,27
PIT,2020,3,5913,19
SEA,2020,3,6192,12
SF,2020,2,5924,18
TB,2020,4,6652,3
TEN,2020,5,6560,4
WAS,2020,3,5451,24
ARI,2021,3,6352,8
ATL,2021,3,5166,29
BAL,2021,3,6444,6
BUF,2021,5,6499,5
CAR,2021,3,5087,30
CHI,2021,3,5231,24
CIN,2021,2,6147,13
CLE,2021,5,5797,18
DAL,2021,3,6931,1
DEN,2021,4,5620,19
DET,2021,2,5494,22
GB,2021,3,6217,10
HOU,2021,3,4731,32
IND,2021,4,5905,16
JAX,2021,5,5195,27
KC,2021,0,6750,3
LAC,2021,1,6648,4
LAR,2021,4,6329,9
LV,2021,2,6184,11
MIA,2021,3,5223,25
MIN,2021,3,6170,12
NE,2021,4,6014,15
NO,2021,5,5177,28
NYG,2021,3,4892,31
NYJ,2021,4,5216,26
PHI,2021,2,6129,14
PIT,2021,1,5365,23
SEA,2021,3,5508,20
SF,2021,4,6391,7
TB,2021,5,6903,2
TEN,2021,4,5826,17
WAS,2021,2,5506,21
ARI,2022,3,5509,22
ATL,2022,3,5423,24
BAL,2022,2,5764,16
BUF,2022,3,6365,4
CAR,2022,2,5208,29
CHI,2022,3,5235,28
CIN,2022,1,5774,15
CLE,2022,3,5936,13
DAL,2022,4,6034,10
DEN,2022,4,5529,21
DET,2022,4,6468,3
GB,2022,4,5749,17
HOU,2022,4,4822,31
IND,2022,3,5301,27
JAX,2022,3,6083,9
KC,2022,5,7038,1
LAC,2022,3,6112,8
LAR,2022,3,4769,32
LV,2022,3,5993,11
MIA,2022,3,6197,6
MIN,2022,4,6151,7
NE,2022,4,5350,26
NO,2022,5,5680,19
NYG,2022,1,5682,18
NYJ,2022,3,5409,25
PHI,2022,5,6618,2
PIT,2022,3,5490,23
SEA,2022,1,5976,12
SF,2022,2,6216,5
TB,2022,2,5898,14
TEN,2022,3,5047,30
WAS,2022,3,5619,20
ARI,2023,2,5517,19
ATL,2023,4,5687,17
BAL,2023,4,6300,6
BUF,2023,3,6372,4
CAR,2023,3,4516,32
CHI,2023,2,5497,20
CIN,2023,4,5424,22
CLE,2023,5,5722,16
DAL,2023,3,6325,5
DEN,2023,3,5080,26
DET,2023,4,6718,3
GB,2023,4,5877,11
HOU,2023,1,5824,12
IND,2023,5,5733,15
JAX,2023,3,5778,13
KC,2023,3,5972,9
LAC,2023,5,5598,18
LAR,2023,3,6116,7
LV,2023,4,4926,27
MIA,2023,3,6822,1
MIN,2023,5,5914,10
NE,2023,2,4696,30
NO,2023,4,5740,14
NYG,2023,4,4762,29
NYJ,2023,4,4572,31
PHI,2023,4,6026,8
PIT,2023,4,5175,25
SEA,2023,4,5494,21
SF,2023,4,6773,2
TB,2023,3,5325,23
TEN,2023,1,4915,28
WAS,2023,2,5323,24
ARI,2024,3,6096,11
ATL,2024,5,6291,7
BAL,2024,3,7201,1
BUF,2024,4,6107,10
CAR,2024,2,5068,29
CHI,2024,4,4826,32
CIN,2024,4,6216,9
CLE,2024,4,5124,28
DAL,2024,3,5569,17
DEN,2024,4,5518,19
DET,2024,4,6964,2
GB,2024,4,6309,5
HOU,2024,2,5435,22
IND,2024,5,5694,13
JAX,2024,2,5214,25
KC,2024,4,5570,16
LAC,2024,3,5517,20
LAR,2024,3,5633,15
LV,2024,4,5158,27
MIA,2024,3,5536,18
MIN,2024,4,5898,12
NE,2024,2,4967,31
NO,2024,3,5444,21
NYG,2024,2,5013,30
NYJ,2024,2,5285,24
PHI,2024,4,6248,8
PIT,2024,3,5430,23
SEA,2024,2,5647,14
SF,2024,4,6397,4
TB,2024,3,6795,3
TEN,2024,2,5178,26
WAS,2024,2,6292,6
ARI,2025,4,5540,19
ATL,2025,4,5665,14
BAL,2025,5,5649,16
BUF,2025,5,6401,4
CAR,2025,4,5027,27
CHI,2025,2,6283,6
CIN,2025,3,5600,17
CLE,2025,5,4458,30
DAL,2025,4,6669,2
DEN,2025,5,5833,10
DET,2025,3,6346,5
GB,2025,3,5658,15
HOU,2025,1,5561,18
IND,2025,3,5884,9
JAX,2025,2,5737,11
KC,2025,4,5455,20
LAC,2025,4,5677,12
LAR,2025,4,6709,1
LV,2025,5,4170,32
MIA,2025,2,5114,26
MIN,2025,1,4679,28
NE,2025,1,6455,3
NO,2025,3,5333,23
NYG,2025,4,5675,13
NYJ,2025,2,4476,29
PHI,2025,4,5293,24
PIT,2025,4,5198,25
SEA,2025,2,5979,7
SF,2025,4,5978,8
TB,2025,4,5451,21
TEN,2025,3,4413,31
WAS,2025,3,5425,22
