team,pos_abb,player_name,designation
ARI,C,Hjalte Froholdt,Incumbent
ARI,LG,Isaac Seumalo,New
ARI,LT,Paris Johnson Jr.,Incumbent
ARI,RG,Chase Bisontis,Rookie
ARI,RT,Elijah Wilkinson,New
ATL,C,Ryan Neuzil,Incumbent
ATL,LG,Matthew Bergeron,Incumbent
ATL,LT,Jake Matthews,Incumbent
ATL,RG,Chris Lindstrom,Incumbent
ATL,RT,Jawaan Taylor,New
BAL,C,Corey Bullock,New
BAL,LG,Olaivavega Ioane,Rookie
BAL,LT,Ronnie Stanley,Incumbent
BAL,RG,John Simpson,New
BAL,RT,Roger Rosengarten,Incumbent
BUF,C,Connor McGovern,Incumbent
BUF,LG,Alec Anderson,New
BUF,LT,Dion Dawkins,Incumbent
BUF,RG,O'Cyrus Torrence,Incumbent
BUF,RT,Spencer Brown,Incumbent
CAR,C,Luke Fortner,New
CAR,LG,Damien Lewis,Incumbent
CAR,LT,Ikem Ekwonu,Incumbent
CAR,RG,Robert Hunt,Incumbent
CAR,RT,Taylor Moton,Incumbent
CHI,C,Garrett Bradbury,New
CHI,LG,Joe Thuney,Incumbent
CHI,LT,Braxton Jones,Incumbent
CHI,RG,Jonah Jackson,Incumbent
CHI,RT,Darnell Wright,Incumbent
CIN,C,Ted Karras,Incumbent
CIN,LG,Dylan Fairchild,Incumbent
CIN,LT,Orlando Brown Jr.,Incumbent
CIN,RG,Dalton Risner,Incumbent
CIN,RT,Amarius Mims,Incumbent
CLE,C,Elgton Jenkins,New
CLE,LG,Zion Johnson,New
CLE,LT,Spencer Fano,Rookie
CLE,RG,Teven Jenkins,New
CLE,RT,Tytus Howard,New
DAL,C,Cooper Beebe,Incumbent
DAL,LG,T.J. Bass,New
DAL,LT,Tyler Smith,Incumbent
DAL,RG,Tyler Booker,Incumbent
DAL,RT,Terence Steele,Incumbent
DEN,C,Luke Wattenberg,Incumbent
DEN,LG,Ben Powers,Incumbent
DEN,LT,Garett Bolles,Incumbent
DEN,RG,Quinn Meinerz,Incumbent
DEN,RT,Mike McGlinchey,Incumbent
DET,C,Cade Mays,New
