team,season,returning_starters
ARI,2020,3
ATL,2020,5
BAL,2020,4
BUF,2020,4
CAR,2020,2
CHI,2020,4
CIN,2020,3
CLE,2020,3
DAL,2020,3
DEN,2020,3
DET,2020,3
GB,2020,4
HOU,2020,4
IND,2020,5
JAX,2020,5
KC,2020,4
LAC,2020,2
LAR,2020,4
LV,2020,5
MIA,2020,1
MIN,2020,4
NE,2020,3
NO,2020,4
NYG,2020,2
NYJ,2020,1
PHI,2020,3
PIT,2020,3
SEA,2020,3
SF,2020,2
TB,2020,4
TEN,2020,5
WAS,2020,3
ARI,2021,3
ATL,2021,3
BAL,2021,3
BUF,2021,5
CAR,2021,3
CHI,2021,3
CIN,2021,2
CLE,2021,5
DAL,2021,3
DEN,2021,4
DET,2021,2
GB,2021,3
HOU,2021,3
IND,2021,4
JAX,2021,5
KC,2021,0
LAC,2021,1
LAR,2021,4
LV,2021,2
MIA,2021,3
MIN,2021,3
NE,2021,4
NO,2021,5
NYG,2021,3
NYJ,2021,4
PHI,2021,2
PIT,2021,1
SEA,2021,3
SF,2021,4
TB,2021,5
TEN,2021,4
WAS,2021,2
ARI,2022,3
ATL,2022,3
BAL,2022,2
BUF,2022,3
CAR,2022,2
CHI,2022,3
CIN,2022,1
CLE,2022,3
DAL,2022,4
DEN,2022,4
DET,2022,4
GB,2022,4
HOU,2022,4
IND,2022,3
JAX,2022,3
KC,2022,5
LAC,2022,3
LAR,2022,3
LV,2022,3
MIA,2022,3
MIN,2022,4
NE,2022,4
NO,2022,5
NYG,2022,1
NYJ,2022,3
PHI,2022,5
PIT,2022,3
SEA,2022,1
SF,2022,2
TB,2022,2
TEN,2022,3
WAS,2022,3
ARI,2023,2
ATL,2023,4
BAL,2023,4
BUF,2023,3
CAR,2023,3
CHI,2023,2
CIN,2023,4
CLE,2023,5
DAL,2023,3
DEN,2023,3
DET,2023,4
GB,2023,4
HOU,2023,1
IND,2023,5
JAX,2023,3
KC,2023,3
LAC,2023,5
LAR,2023,3
LV,2023,4
MIA,2023,3
MIN,2023,5
NE,2023,2
NO,2023,4
NYG,2023,4
NYJ,2023,4
PHI,2023,4
PIT,2023,4
SEA,2023,4
SF,2023,4
TB,2023,3
TEN,2023,1
WAS,2023,2
ARI,2024,3
ATL,2024,5
BAL,2024,3
BUF,2024,4
CAR,2024,2
CHI,2024,4
CIN,2024,4
CLE,2024,4
DAL,2024,3
DEN,2024,4
DET,2024,4
GB,2024,4
HOU,2024,2
IND,2024,5
JAX,2024,2
KC,2024,4
LAC,2024,3
LAR,2024,3
LV,2024,4
MIA,2024,3
MIN,2024,4
NE,2024,2
NO,2024,3
NYG,2024,2
NYJ,2024,2
PHI,2024,4
PIT,2024,3
SEA,2024,2
SF,2024,4
TB,2024,3
TEN,2024,2
WAS,2024,2
ARI,2025,4
ATL,2025,4
BAL,2025,5
BUF,2025,5
CAR,2025,4
CHI,2025,2
CIN,2025,3
CLE,2025,5
DAL,2025,4
DEN,2025,5
DET,2025,3
GB,2025,3
HOU,2025,1
IND,2025,3
JAX,2025,2
KC,2025,4
LAC,2025,4
LAR,2025,4
LV,2025,5
MIA,2025,2
MIN,2025,1
NE,2025,1
NO,2025,3
NYG,2025,4
NYJ,2025,2
PHI,2025,4
PIT,2025,4
SEA,2025,2
SF,2025,4
TB,2025,4
TEN,2025,3
WAS,2025,3
